Timestamp,Voltage (V),Current (A),Power (W)
2025-06-22T06:29:05.468Z,0.21,0.42,0
2025-06-22T06:29:06.478Z,0.21,0.42,0
2025-06-22T06:29:07.490Z,0.21,0.42,0
2025-06-22T06:29:08.498Z,0.21,0.42,0
2025-06-22T06:29:09.505Z,0.21,0.42,0
2025-06-22T06:29:10.507Z,0.21,0.42,0
2025-06-22T06:29:11.512Z,0.21,0.42,0
2025-06-22T06:29:12.518Z,0.21,0.42,0
2025-06-22T06:29:13.524Z,0.21,0.42,0
2025-06-22T06:29:14.525Z,0.21,0.42,0
2025-06-22T06:29:15.529Z,0.21,0.42,0
2025-06-22T06:29:16.528Z,0.21,0.42,0
2025-06-22T06:29:17.531Z,0.21,0.42,0
2025-06-22T06:29:18.531Z,0.21,0.42,0
2025-06-22T06:29:19.544Z,0.21,0.42,0
2025-06-22T06:29:20.546Z,0.21,0.42,0
2025-06-22T06:29:21.552Z,0.21,0.42,0
2025-06-22T06:29:22.553Z,0.21,0.42,0
2025-06-22T06:29:23.563Z,0.21,0.42,0
2025-06-22T06:29:24.564Z,0.21,0.42,0
2025-06-22T06:29:25.567Z,0.21,0.42,0
2025-06-22T06:29:26.573Z,0.21,0.42,0
2025-06-22T06:29:27.575Z,0.21,0.42,0
2025-06-22T06:29:28.581Z,0.21,0.42,0
2025-06-22T06:29:29.589Z,0.21,0.42,0
2025-06-22T06:29:30.593Z,0.21,0.42,0
2025-06-22T06:29:31.595Z,0.21,0.42,0
2025-06-22T06:29:32.596Z,0.21,0.42,0
2025-06-22T06:29:33.598Z,0.21,0.42,0
2025-06-22T06:29:34.601Z,0.21,0.42,0
2025-06-22T06:29:35.609Z,0.21,0.42,0
2025-06-22T06:29:36.610Z,0.21,0.42,0
2025-06-22T06:29:37.618Z,0.21,0.42,0
2025-06-22T06:29:38.628Z,0.21,0.42,0
2025-06-22T06:29:39.641Z,0.21,0.42,0
2025-06-22T06:29:40.643Z,0.21,0.42,0
2025-06-22T06:29:41.650Z,0.21,0.42,0
2025-06-22T06:29:42.661Z,0.21,0.42,0
2025-06-22T06:29:43.661Z,0.21,0.42,0
2025-06-22T06:29:44.664Z,0.21,0.42,0
2025-06-22T06:29:45.673Z,0.21,0.42,0
2025-06-22T06:29:46.688Z,0.21,0.42,0
